<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.03	00:00:00	1909.308	1914.896	1907.729	1913.094	3729	0	0
2021.01.03	20:00:00	1909.308	1914.896	1907.729	1913.094	3730	0	0
2021.01.04	00:00:00	1913.048	1925.218	1909.942	1923.158	15502	0	0
2021.01.04	04:00:00	1923.169	1925.489	1918.953	1924.768	12767	0	0
2021.01.04	08:00:00	1924.783	1936.435	1924.593	1933.470	16540	0	0
2021.01.04	12:00:00	1933.419	1944.372	1929.270	1942.919	25652	0	0
2021.01.04	16:00:00	1942.969	1943.620	1932.619	1942.437	20467	0	0
2021.01.04	20:00:00	1942.390	1945.563	1940.402	1941.686	7750	0	0
2021.01.05	00:00:00	1941.687	1943.899	1934.267	1941.055	13963	0	0
2021.01.05	04:00:00	1941.063	1943.898	1936.656	1939.585	13991	0	0
2021.01.05	08:00:00	1939.631	1950.194	1939.411	1949.852	16087	0	0
2021.01.05	12:00:00	1949.865	1952.552	1938.938	1943.456	25073	0	0
2021.01.05	16:00:00	1943.501	1952.985	1942.747	1951.296	16256	0	0
2021.01.05	20:00:00	1951.246	1953.140	1947.641	1950.228	8715	0	0
2021.01.06	00:00:00	1950.279	1955.242	1942.045	1942.111	17778	0	0
2021.01.06	04:00:00	1942.061	1949.388	1941.297	1947.796	14944	0	0
2021.01.06	08:00:00	1947.749	1959.290	1945.277	1945.277	18575	0	0
2021.01.06	12:00:00	1945.229	1948.500	1903.939	1909.703	40936	0	0
2021.01.06	16:00:00	1909.749	1921.250	1900.692	1918.388	25194	0	0
2021.01.06	20:00:00	1918.324	1924.399	1915.296	1923.991	11472	0	0
2021.01.07	00:00:00	1923.943	1924.562	1914.708	1917.905	15448	0	0
2021.01.07	04:00:00	1917.899	1927.597	1916.006	1920.679	14465	0	0
2021.01.07	08:00:00	1920.659	1922.478	1908.773	1918.368	21984	0	0
2021.01.07	12:00:00	1918.414	1919.753	1906.796	1913.604	26194	0	0
2021.01.07	16:00:00	1913.651	1917.831	1909.046	1917.025	16344	0	0
2021.01.07	20:00:00	1917.074	1918.028	1912.622	1916.548	6781	0	0
2021.01.08	00:00:00	1916.499	1916.605	1908.572	1910.603	12048	0	0
2021.01.08	04:00:00	1910.555	1911.616	1904.311	1904.787	12404	0	0
2021.01.08	08:00:00	1904.741	1904.741	1876.354	1894.044	25548	0	0
2021.01.08	12:00:00	1894.047	1894.444	1849.777	1862.792	43610	0	0
2021.01.08	16:00:00	1862.829	1865.532	1828.156	1846.521	40624	0	0
2021.01.08	20:00:00	1846.474	1849.576	1844.343	1849.370	6188	0	0
2021.01.10	00:00:00	1855.038	1855.537	1841.553	1844.710	4879	0	0
2021.01.10	20:00:00	1855.038	1855.537	1841.553	1844.710	4881	0	0
