IDENTIFIER_TYPE,DESCRIPTION_TYPE
DEAL_TYPE_BUY,Buy
DEAL_TYPE_SELL,Sell
DEAL_TYPE_BALANCE,Balance
DEAL_TYPE_CREDIT,Credit
DEAL_TYPE_CHARGE,Additional charge
DEAL_TYPE_CORRECTION,Correction
DEAL_TYPE_BONUS,Bonus
DEAL_TYPE_COMMISSION,Additional commission
DEAL_TYPE_COMMISSION_DAILY,Daily commission
DEAL_TYPE_COMMISSION_MONTHLY,Monthly commission
DEAL_TYPE_COMMISSION_AGENT_DAILY,Daily agent commission
DEAL_TYPE_COMMISSION_AGENT_MONTHLY,Monthly agent commission
DEAL_TYPE_INTEREST,Interest rate
DEAL_TYPE_BUY_CANCELED,"Canceled buy deal. There can be a situation when a previously executed buy deal is canceled. In this case, the type of the previously executed deal (DEAL_TYPE_BUY) is changed to DEAL_TYPE_BUY_CANCELED, and its profit/loss is zeroized. Previously obtained profit/loss is charged/withdrawn using a separated balance operation"
DEAL_TYPE_SELL_CANCELED,"Canceled sell deal. There can be a situation when a previously executed sell deal is canceled. In this case, the type of the previously executed deal (DEAL_TYPE_SELL) is changed to DEAL_TYPE_SELL_CANCELED, and its profit/loss is zeroized. Previously obtained profit/loss is charged/withdrawn using a separated balance operation"
DEAL_DIVIDEND,Dividend operations
DEAL_DIVIDEND_FRANKED,Franked (non-taxable) dividend operations
DEAL_TAX,Tax charges
